name	addr	size	section	bind	type	parent
koi8_r_page23	002e57bc	00000008	.rodata	l	O	
koi8_r_page25	002e57c4	000000a8	.rodata	l	O	
koi8_u_2uni	002e586c	00000100	.rodata	l	O	
koi8_u_page00	002e596c	00000058	.rodata	l	O	
koi8_u_page04	002e59c4	00000098	.rodata	l	O	
koi8_u_page22	002e5a5c	00000050	.rodata	l	O	
koi8_u_page23	002e5aac	00000008	.rodata	l	O	
koi8_u_page25	002e5ab4	000000a8	.rodata	l	O	
koi8_ru_2uni	002e5b5c	00000100	.rodata	l	O	
koi8_ru_page00	002e5c5c	00000058	.rodata	l	O	
koi8_ru_page04	002e5cb4	00000098	.rodata	l	O	
koi8_ru_page22	002e5d4c	00000050	.rodata	l	O	
koi8_ru_page23	002e5d9c	00000008	.rodata	l	O	
koi8_ru_page25	002e5da4	000000a8	.rodata	l	O	
cp1250_2uni	002e5e4c	00000100	.rodata	l	O	
cp1250_page00	002e5f4c	000000e0	.rodata	l	O	
cp1250_page02	002e602c	00000020	.rodata	l	O	
cp1250_page20	002e604c	00000030	.rodata	l	O	
cp1251_2uni	002e607c	00000100	.rodata	l	O	
cp1251_page00	002e617c	00000020	.rodata	l	O	
cp1251_page04	002e619c	00000098	.rodata	l	O	
cp1251_page20	002e6234	00000030	.rodata	l	O	
cp1252_2uni	002e6264	00000040	.rodata	l	O	
cp1252_page01	002e62a4	00000048	.rodata	l	O	
cp1252_page02	002e62ec	00000020	.rodata	l	O	
cp1252_page20	002e630c	00000030	.rodata	l	O	
cp1253_2uni	002e633c	00000100	.rodata	l	O	
cp1253_page00	002e643c	00000020	.rodata	l	O	
cp1253_page03	002e645c	00000050	.rodata	l	O	
cp1253_page20	002e64ac	00000030	.rodata	l	O	
cp1254_2uni_1	002e64dc	00000040	.rodata	l	O	
cp1254_2uni_2	002e651c	00000020	.rodata	l	O	
cp1254_2uni_3	002e653c	00000020	.rodata	l	O	
cp1254_page00	002e655c	00000030	.rodata	l	O	
cp1254_page01	002e658c	00000080	.rodata	l	O	
cp1254_page02	002e660c	00000020	.rodata	l	O	
cp1254_page20	002e662c	00000030	.rodata	l	O	
cp1255_comp_table_data	002e665c	00000090	.rodata	l	O	
cp1255_comp_table	002e66ec	00000040	.rodata	l	O	
cp1255_decomp_table	002e672c	00000110	.rodata	l	O	
cp1255_comb_table	002e683c	00000008	.rodata	l	O	
cp1255_2uni	002e6844	00000100	.rodata	l	O	
cp1255_page00	002e6944	00000058	.rodata	l	O	
cp1255_page02	002e699c	00000020	.rodata	l	O	
cp1255_page05	002e69bc	00000048	.rodata	l	O	
cp1255_page20	002e6a04	00000038	.rodata	l	O	
cp1256_2uni	002e6a3c	00000100	.rodata	l	O	
cp1256_page00	002e6b3c	00000060	.rodata	l	O	
cp1256_page01	002e6b9c	00000048	.rodata	l	O	
cp1256_page06	002e6be4	000000d0	.rodata	l	O	
cp1256_page20	002e6cb4	00000038	.rodata	l	O	
cp1257_2uni	002e6cec	00000100	.rodata	l	O	
cp1257_page00	002e6dec	000000e0	.rodata	l	O	
cp1257_page02	002e6ecc	00000020	.rodata	l	O	
cp1257_page20	002e6eec	00000030	.rodata	l	O	
viet_comp_table_data	002e6f1c	00000328	.rodata	l	O	
viet_comp_table	002e7244	00000028	.rodata	l	O	
viet_decomp_table	002e726c	00000324	.rodata	l	O	
cp1258_comb_table	002e7590	00000005	.rodata	l	O	
cp1258_comp_bases	002e7598	00000030	.rodata	l	O	
cp1258_2uni	002e75c8	00000100	.rodata	l	O	
cp1258_page00	002e76c8	00000058	.rodata	l	O	
cp1258_page01	002e7720	00000068	.rodata	l	O	
cp1258_page02	002e7788	00000020	.rodata	l	O	
cp1258_page03	002e77a8	00000028	.rodata	l	O	
cp1258_page20	002e77d0	00000030	.rodata	l	O	
cp850_2uni	002e7800	00000100	.rodata	l	O	
cp850_page00	002e7900	00000060	.rodata	l	O	
cp850_page25	002e7960	000000a8	.rodata	l	O	
cp862_2uni	002e7a08	00000100	.rodata	l	O	
cp862_page00	002e7b08	00000060	.rodata	l	O	
cp862_page03	002e7b68	00000038	.rodata	l	O	
cp862_page22	002e7ba0	00000050	.rodata	l	O	
cp862_page25	002e7bf0	000000a8	.rodata	l	O	
cp866_2uni	002e7c98	000000a0	.rodata	l	O	
cp866_page00	002e7d38	00000018	.rodata	l	O	
cp866_page04	002e7d50	00000060	.rodata	l	O	
cp866_page22	002e7db0	00000008	.rodata	l	O	
cp866_page25	002e7db8	000000a8	.rodata	l	O	
cp1131_2uni	002e7e60	00000100	.rodata	l	O	
cp1131_page00	002e7f60	00000018	.rodata	l	O	
cp1131_page04	002e7f78	00000098	.rodata	l	O	
cp1131_page25	002e8010	00000098	.rodata	l	O	
mac_roman_2uni	002e80a8	00000100	.rodata	l	O	
mac_roman_page00	002e81a8	00000060	.rodata	l	O	
mac_roman_page01	002e8208	00000068	.rodata	l	O	
mac_roman_page02	002e8270	00000020	.rodata	l	O	
mac_roman_page20	002e8290	00000038	.rodata	l	O	
mac_roman_page21	002e82c8	00000008	.rodata	l	O	
mac_roman_page22	002e82d0	00000068	.rodata	l	O	
mac_roman_pagefb	002e8338	00000008	.rodata	l	O	
mac_centraleurope_2uni	002e8340	00000100	.rodata	l	O	
mac_centraleurope_page00	002e8440	000000e0	.rodata	l	O	
mac_centraleurope_page20	002e8520	00000030	.rodata	l	O	
mac_centraleurope_page22	002e8550	00000020	.rodata	l	O	
mac_centraleurope_page22_1	002e8570	00000008	.rodata	l	O	
mac_iceland_2uni	002e8578	00000100	.rodata	l	O	
mac_iceland_page00	002e8678	00000060	.rodata	l	O	
mac_iceland_page01	002e86d8	00000068	.rodata	l	O	
mac_iceland_page02	002e8740	00000020	.rodata	l	O	
mac_iceland_page20	002e8760	00000038	.rodata	l	O	
mac_iceland_page21	002e8798	00000008	.rodata	l	O	
mac_iceland_page22	002e87a0	00000068	.rodata	l	O	
mac_croatian_2uni	002e8808	00000100	.rodata	l	O	
mac_croatian_page00	002e8908	000000f8	.rodata	l	O	
mac_croatian_page02	002e8a00	00000020	.rodata	l	O	
mac_croatian_page20	002e8a20	00000038	.rodata	l	O	
mac_croatian_page21	002e8a58	00000008	.rodata	l	O	
mac_croatian_page22	002e8a60	00000068	.rodata	l	O	
mac_romania_2uni	002e8ac8	00000100	.rodata	l	O	
mac_romania_page00	002e8bc8	000000f8	.rodata	l	O	
mac_romania_page02	002e8cc0	00000020	.rodata	l	O	
mac_romania_page20	002e8ce0	00000038	.rodata	l	O	
mac_romania_page21	002e8d18	00000008	.rodata	l	O	
mac_romania_page22	002e8d20	00000068	.rodata	l	O	
mac_cyrillic_2uni	002e8d88	00000100	.rodata	l	O	
mac_cyrillic_page00	002e8e88	00000020	.rodata	l	O	
mac_cyrillic_page04	002e8ea8	00000060	.rodata	l	O	
mac_cyrillic_page20	002e8f08	00000018	.rodata	l	O	
mac_cyrillic_page21	002e8f20	00000018	.rodata	l	O	
mac_cyrillic_page22	002e8f38	00000068	.rodata	l	O	
mac_ukraine_2uni	002e8fa0	00000100	.rodata	l	O	
mac_ukraine_page00	002e90a0	00000020	.rodata	l	O	
mac_ukraine_page04	002e90c0	00000098	.rodata	l	O	
mac_ukraine_page20	002e9158	00000018	.rodata	l	O	
mac_ukraine_page21	002e9170	00000018	.rodata	l	O	
mac_ukraine_page22	002e9188	00000068	.rodata	l	O	
mac_greek_2uni	002e91f0	00000100	.rodata	l	O	
mac_greek_page00	002e92f0	00000060	.rodata	l	O	
mac_greek_page03	002e9350	00000050	.rodata	l	O	
mac_greek_page20	002e93a0	00000028	.rodata	l	O	
mac_greek_page22	002e93c8	00000020	.rodata	l	O	
mac_turkish_2uni	002e93e8	00000100	.rodata	l	O	
mac_turkish_page00	002e94e8	00000060	.rodata	l	O	
mac_turkish_page01	002e9548	00000080	.rodata	l	O	
mac_turkish_page02	002e95c8	00000020	.rodata	l	O	
mac_turkish_page20	002e95e8	00000028	.rodata	l	O	
mac_turkish_page21	002e9610	00000008	.rodata	l	O	
mac_turkish_page22	002e9618	00000068	.rodata	l	O	
mac_hebrew_2uni	002e9680	00000100	.rodata	l	O	
mac_hebrew_page00	002e9780	00000060	.rodata	l	O	
mac_hebrew_page05	002e97e0	00000040	.rodata	l	O	
mac_hebrew_page20	002e9820	00000018	.rodata	l	O	
mac_hebrew_pagefb	002e9838	00000038	.rodata	l	O	
mac_arabic_2uni	002e9870	00000100	.rodata	l	O	
mac_arabic_page00	002e9970	00000060	.rodata	l	O	
mac_arabic_page06	002e99d0	000000d0	.rodata	l	O	
mac_thai_2uni	002e9aa0	00000100	.rodata	l	O	
mac_thai_page00	002e9ba0	00000020	.rodata	l	O	
mac_thai_page0e	002e9bc0	00000060	.rodata	l	O	
mac_thai_page20	002e9c20	00000020	.rodata	l	O	
mac_thai_pagef8	002e9c40	00000020	.rodata	l	O	
hp_roman8_2uni	002e9c60	000000c0	.rodata	l	O	
hp_roman8_page00	002e9d20	00000060	.rodata	l	O	
hp_roman8_page01	002e9d80	00000038	.rodata	l	O	
hp_roman8_page02	002e9db8	00000020	.rodata	l	O	
nextstep_2uni	002e9dd8	00000100	.rodata	l	O	
nextstep_page00	002e9ed8	00000060	.rodata	l	O	
nextstep_page01	002e9f38	00000068	.rodata	l	O	
nextstep_page02	002e9fa0	00000020	.rodata	l	O	
nextstep_page20	002e9fc0	00000038	.rodata	l	O	
nextstep_pagefb	002e9ff8	00000008	.rodata	l	O	
armscii_8_2uni	002ea000	000000c0	.rodata	l	O	
armscii_8_page00	002ea0c0	00000008	.rodata	l	O	
armscii_8_page00_1	002ea0c8	00000020	.rodata	l	O	
armscii_8_page05	002ea0e8	00000060	.rodata	l	O	
armscii_8_page20	002ea148	00000018	.rodata	l	O	
georgian_academy_2uni	002ea160	00000040	.rodata	l	O	
georgian_academy_page00	002ea1a0	00000020	.rodata	l	O	
georgian_academy_page01	002ea1c0	00000048	.rodata	l	O	
georgian_academy_page02	002ea208	00000020	.rodata	l	O	
georgian_academy_page20	002ea228	00000030	.rodata	l	O	
georgian_ps_2uni_1	002ea258	00000040	.rodata	l	O	
georgian_ps_2uni_2	002ea298	0000004e	.rodata	l	O	
georgian_ps_page00	002ea2e8	00000020	.rodata	l	O	
georgian_ps_page01	002ea308	00000048	.rodata	l	O	
georgian_ps_page02	002ea350	00000020	.rodata	l	O	
georgian_ps_page10	002ea370	00000028	.rodata	l	O	
georgian_ps_page20	002ea398	00000030	.rodata	l	O	
koi8_t_2uni	002ea3c8	00000100	.rodata	l	O	
koi8_t_page00	002ea4c8	00000020	.rodata	l	O	
koi8_t_page04	002ea4e8	000000f0	.rodata	l	O	
koi8_t_page20	002ea5d8	00000030	.rodata	l	O	
koi8_t_page21	002ea608	00000018	.rodata	l	O	
pt154_2uni	002ea620	00000080	.rodata	l	O	
pt154_page00	002ea6a0	00000020	.rodata	l	O	
pt154_page04	002ea6c0	000000f0	.rodata	l	O	
pt154_page20	002ea7b0	00000018	.rodata	l	O	
rk1048_2uni	002ea7c8	00000100	.rodata	l	O	
rk1048_page00	002ea8c8	00000020	.rodata	l	O	
rk1048_page04	002ea8e8	000000f0	.rodata	l	O	
rk1048_page20	002ea9d8	00000030	.rodata	l	O	
rk1048_page21	002eaa08	00000018	.rodata	l	O	
mulelao_2uni	002eaa20	000000c0	.rodata	l	O	
mulelao_page0e	002eaae0	00000060	.rodata	l	O	
cp1133_2uni_1	002eab40	00000080	.rodata	l	O	
cp1133_2uni_2	002eabc0	00000020	.rodata	l	O	
cp1133_page00	002eabe0	00000010	.rodata	l	O	
cp1133_page0e	002eabf0	00000060	.rodata	l	O	
cp874_2uni	002eac50	00000100	.rodata	l	O	
cp874_page0e	002ead50	00000060	.rodata	l	O	
cp874_page20	002eadb0	00000018	.rodata	l	O	
viscii_2uni_1	002eadc8	00000040	.rodata	l	O	
viscii_2uni_2	002eae08	00000100	.rodata	l	O	
viscii_page00	002eaf08	000000f8	.rodata	l	O	
viscii_page1e	002eb000	00000060	.rodata	l	O	
tcvn_comb_table	002eb060	00000005	.rodata	l	O	
tcvn_comp_bases	002eb068	00000030	.rodata	l	O	
tcvn_2uni_1	002eb098	00000030	.rodata	l	O	
tcvn_2uni_2	002eb0c8	00000100	.rodata	l	O	
tcvn_page00	002eb1c8	00000118	.rodata	l	O	
tcvn_page03	002eb2e0	00000028	.rodata	l	O	
tcvn_page1e	002eb308	00000060	.rodata	l	O	
jisx0208_2uni_page21	002eb368	00000564	.rodata	l	O	
jisx0208_2uni_page30	002eb8cc	000031fc	.rodata	l	O	
jisx0208_2charset	002eeac8	000035be	.rodata	l	O	
jisx0208_uni2indx_page00	002f2088	00000040	.rodata	l	O	
jisx0208_uni2indx_page03	002f20c8	00000058	.rodata	l	O	
jisx0208_uni2indx_page20	002f2120	000000c8	.rodata	l	O	
jisx0208_uni2indx_page25	002f21e8	0000005c	.rodata	l	O	
jisx0208_uni2indx_page30	002f2244	00000040	.rodata	l	O	
jisx0208_uni2indx_page4e	002f2284	0000146c	.rodata	l	O	
jisx0208_uni2indx_pageff	002f36f0	0000003c	.rodata	l	O	
jisx0212_2uni_page22	002f372c	000000a2	.rodata	l	O	
jisx0212_2uni_page26	002f37d0	00000178	.rodata	l	O	
jisx0212_2uni_page29	002f3948	00000226	.rodata	l	O	
jisx0212_2uni_page30	002f3b70	00002d52	.rodata	l	O	
jisx0212_2charset	002f68c4	00002f66	.rodata	l	O	
jisx0212_uni2indx_page00	002f982c	00000118	.rodata	l	O	
jisx0212_uni2indx_page21	002f9944	0000000c	.rodata	l	O	
jisx0212_uni2indx_page4e	002f9950	0000146c	.rodata	l	O	
jisx0212_uni2indx_pageff	002fadbc	00000018	.rodata	l	O	
gb2312_2uni_page21	002fadd4	0000067e	.rodata	l	O	
gb2312_2uni_page30	002fb454	000034e0	.rodata	l	O	
gb2312_2charset	002fe934	00003a2a	.rodata	l	O	
gb2312_uni2indx_page00	00302360	00000118	.rodata	l	O	
gb2312_uni2indx_page20	00302478	00000194	.rodata	l	O	
gb2312_uni2indx_page30	0030260c	0000008c	.rodata	l	O	
gb2312_uni2indx_page4e	00302698	000013bc	.rodata	l	O	
gb2312_uni2indx_page9e	00303a54	0000006c	.rodata	l	O	
gb2312_uni2indx_pageff	00303ac0	0000003c	.rodata	l	O	
isoir165ext_2uni_page2b	00303afc	000003ac	.rodata	l	O	
isoir165ext_2uni_page7a	00303ea8	000003ac	.rodata	l	O	
isoir165ext_2charset	00304254	000006d8	.rodata	l	O	
isoir165ext_uni2indx_page00	0030492c	00000080	.rodata	l	O	
isoir165ext_uni2indx_page03	003049ac	00000030	.rodata	l	O	
isoir165ext_uni2indx_page1e	003049dc	00000070	.rodata	l	O	
isoir165ext_uni2indx_page30	00304a4c	00000010	.rodata	l	O	
isoir165ext_uni2indx_page32	00304a5c	00000080	.rodata	l	O	
isoir165ext_uni2indx_page4e	00304adc	00000bc0	.rodata	l	O	
isoir165ext_uni2indx_page7e	0030569c	00000534	.rodata	l	O	
isoir165ext_uni2indx_page94	00305bd0	0000023c	.rodata	l	O	
isoir165ext_uni2indx_page9e	00305e0c	00000064	.rodata	l	O	
isoir165ext_uni2indx_pageff	00305e70	00000014	.rodata	l	O	
gbkext1_2uni_page81	00305e84	00002f80	.rodata	l	O	
gbkext2_2uni_pagea8	00308e04	000040a0	.rodata	l	O	
gbkext_inv_2charset	0030cea4	00006fd2	.rodata	l	O	
gbkext_inv_uni2indx_page02	00313e78	00000038	.rodata	l	O	
gbkext_inv_uni2indx_page20	00313eb0	000000b0	.rodata	l	O	
gbkext_inv_uni2indx_page25	00313f60	00000044	.rodata	l	O	
gbkext_inv_uni2indx_page30	00313fa4	00000040	.rodata	l	O	
gbkext_inv_uni2indx_page32	00313fe4	00000078	.rodata	l	O	
gbkext_inv_uni2indx_page4e	0031405c	0000146c	.rodata	l	O	
gbkext_inv_uni2indx_pagef9	003154c8	0000004c	.rodata	l	O	
gbkext_inv_uni2indx_pagefe	00315514	0000007c	.rodata	l	O	
cp936ext_2uni_pagea6	00315590	0000002c	.rodata	l	O	
cp936ext_2uni_pagea8	003155bc	0000000c	.rodata	l	O	
cp936ext_page01	003155c8	00000020	.rodata	l	O	
cp936ext_page02	003155e8	00000030	.rodata	l	O	
cp936ext_pagefe	00315618	00000030	.rodata	l	O	
cns11643_1_2uni_page21	00315648	000003e8	.rodata	l	O	
cns11643_1_2uni_page42	00315a30	00000044	.rodata	l	O	
cns11643_1_2uni_page44	00315a74	00002a32	.rodata	l	O	
cns11643_2_2uni_page21	003184a8	00003bc4	.rodata	l	O	
cns11643_3_2uni_page21	0031c06c	00003008	.rodata	l	O	
cns11643_3_2uni_page64	0031f074	00000248	.rodata	l	O	
cns11643_3_2uni_upages	0031f2bc	00000220	.rodata	l	O	
cns11643_4a_2uni_page21	0031f4dc	000016c4	.rodata	l	O	
cns11643_4a_2uni_upages	00320ba0	00000350	.rodata	l	O	
cns11643_4b_2uni_page40	00320ef0	00002240	.rodata	l	O	
cns11643_4b_2uni_upages	00323130	000003e0	.rodata	l	O	
cns11643_5_2uni_page21	00323510	00004336	.rodata	l	O	
cns11643_5_2uni_upages	00327848	00000394	.rodata	l	O	
cns11643_6_2uni_page21	00327bdc	000031e8	.rodata	l	O	
cns11643_6_2uni_upages	0032adc4	00000330	.rodata	l	O	
cns11643_7_2uni_page21	0032b0f4	00003316	.rodata	l	O	
cns11643_7_2uni_upages	0032e40c	00000318	.rodata	l	O	
cns11643_15_2uni_page21	0032e724	00003802	.rodata	l	O	
cns11643_15_2uni_upages	00331f28	000003f4	.rodata	l	O	
cns11643_inv_2charset	0033231c	000289b6	.rodata	l	O	
cns11643_inv_uni2indx_page00	0035acd4	00000040	.rodata	l	O	
cns11643_inv_uni2indx_page02	0035ad14	00000074	.rodata	l	O	
cns11643_inv_uni2indx_page20	0035ad88	000000b0	.rodata	l	O	
cns11643_inv_uni2indx_page24	0035ae38	00000094	.rodata	l	O	
cns11643_inv_uni2indx_page30	0035aecc	00001bec	.rodata	l	O	
cns11643_inv_uni2indx_pagefa	0035cab8	0000000c	.rodata	l	O	
cns11643_inv_uni2indx_pagefe	0035cac4	0000007c	.rodata	l	O	
cns11643_inv_uni2indx_page200	0035cb40	000029b8	.rodata	l	O	
cns11643_inv_uni2indx_page2f8	0035f4f8	00000088	.rodata	l	O	
big5_2uni_pagea1	0035f580	00002fd2	.rodata	l	O	
big5_2uni_pagec9	00362554	00003bc8	.rodata	l	O	
big5_2charset	0036611c	00006b0e	.rodata	l	O	
big5_uni2indx_page00	0036cc2c	00000040	.rodata	l	O	
big5_uni2indx_page02	0036cc6c	00000098	.rodata	l	O	
big5_uni2indx_page20	0036cd04	000000b0	.rodata	l	O	
big5_uni2indx_page24	0036cdb4	00000094	.rodata	l	O	
big5_uni2indx_page30	0036ce48	000000f8	.rodata	l	O	
big5_uni2indx_page4e	0036cf40	0000146c	.rodata	l	O	
big5_uni2indx_pagefa	0036e3ac	00000004	.rodata	l	O	
big5_uni2indx_pagefe	0036e3b0	0000005c	.rodata	l	O	
ksc5601_2uni_page21	0036e40c	000008b6	.rodata	l	O	
ksc5601_2uni_page30	0036ecc4	0000125c	.rodata	l	O	
ksc5601_2uni_page4a	0036ff20	00002630	.rodata	l	O	
ksc5601_2charset	00372550	00004046	.rodata	l	O	
ksc5601_uni2indx_page00	00376598	00000118	.rodata	l	O	
ksc5601_uni2indx_page20	003766b0	0000019c	.rodata	l	O	
ksc5601_uni2indx_page30	0037684c	000000f8	.rodata	l	O	
ksc5601_uni2indx_page4e	00376944	00001468	.rodata	l	O	
ksc5601_uni2indx_pageac	00377dac	00000ae8	.rodata	l	O	
ksc5601_uni2indx_pagef9	00378894	00000044	.rodata	l	O	
ksc5601_uni2indx_pageff	003788d8	0000003c	.rodata	l	O	
jamo_initial	00378914	00000020	.rodata	l	O	
jamo_medial	00378934	00000020	.rodata	l	O	
jamo_final	00378954	00000020	.rodata	l	O	
jamo_final_notinitial	00378974	00000020	.rodata	l	O	
jamo_initial_index	00378994	00000020	.rodata	l	O	
jamo_medial_index	003789b4	00000020	.rodata	l	O	
jamo_final_index	003789d4	00000020	.rodata	l	O	
johab_hangul_page31	003789f4	00000066	.rodata	l	O	
jamo_initial_index_inverse	00378a5c	00000013	.rodata	l	O	
jamo_medial_index_inverse	00378a70	00000015	.rodata	l	O	
jamo_final_index_inverse	00378a88	0000001c	.rodata	l	O	
cp932ext_2uni_page87	00378aa4	000000b8	.rodata	l	O	
cp932ext_2uni_pageed	00378b5c	000002f0	.rodata	l	O	
cp932ext_2uni_pagefa	00378e4c	00000308	.rodata	l	O	
cp932ext_2charset	00379154	00000392	.rodata	l	O	
cp932ext_uni2indx_page21	003794e8	00000070	.rodata	l	O	
cp932ext_uni2indx_page24	00379558	00000020	.rodata	l	O	
cp932ext_uni2indx_page30	00379578	00000008	.rodata	l	O	
cp932ext_uni2indx_page32	00379580	00000074	.rodata	l	O	
cp932ext_uni2indx_page4e	003795f4	000001e4	.rodata	l	O	
cp932ext_uni2indx_page57	003797d8	000000b0	.rodata	l	O	
cp932ext_uni2indx_page5b	00379888	000000b8	.rodata	l	O	
cp932ext_uni2indx_page5f	00379940	00000728	.rodata	l	O	
cp932ext_uni2indx_page7d	0037a068	000000ac	.rodata	l	O	
cp932ext_uni2indx_page83	0037a114	000000b0	.rodata	l	O	
